,images,heart,left clavicle,right clavicle,left lung,right lung,all
0.0,0.0005733054165909243,7.749220701986663e-05,5.969145185165854e-06,6.50662589196513e-06,4.6191608188838385e-07,1.7684344496651275e-06,0.0005615439003176009
0.001,0.0006083547916024529,9.162512762479302e-05,6.54076210650512e-06,7.149823969595064e-06,4.960087999828773e-07,1.9517007435827173e-06,0.0005960156187567045
0.002,0.0006442005313460446,0.00010761772671094901,7.106018695851846e-06,7.783481993350649e-06,5.301393154767313e-07,2.138807540532227e-06,0.000631281512953695
0.003,0.0006807552373396033,0.00012562340118027373,7.657426411560505e-06,8.398218855907543e-06,5.64162114316024e-07,2.327752773523919e-06,0.0006672562766101542
0.004,0.0007179254110878602,0.0001458071089991533,8.188009538452922e-06,8.985398757816702e-06,5.979562600726608e-07,2.5164245556564374e-06,0.0007038486190603092
0.005,0.0007556120668816674,0.000168347956824709,8.691531704067573e-06,9.537442080283829e-06,6.314245596452381e-07,2.7026547383040555e-06,0.0007409618753491229
0.006,0.0007937114116187226,0.00019344143904922114,9.162675426121626e-06,1.0048057434832815e-05,6.644904311963545e-07,2.8842736013194533e-06,0.0007784946823844273
0.007,0.0008321155842227906,0.00022130091142775034,9.597169786677349e-06,1.0512385861576242e-05,6.970927047806978e-07,3.0591629895017702e-06,0.0008163417135165288
0.008,0.0008707134464114792,0.0002521578668065497,9.991865577547061e-06,1.0927056870000697e-05,7.291787810786842e-07,3.2253054266269766e-06,0.0008543944630358818
0.009,0.0009093914156935755,0.00028626060977618987,1.0344760663508496e-05,1.1290163783260399e-05,7.606967405848389e-07,3.3808271487420577e-06,0.0008925420712414702
0.01,0.0009480343308875563,0.00032387100632974705,1.0654980616713326e-05,1.1601171799762377e-05,7.915871173510131e-07,3.5240335617758167e-06,0.0009306721801481953
0.011,0.0009865263398811737,0.00036525911350069245,1.092272087957872e-05,1.186077582933087e-05,8.217751144686544e-07,3.6534362884718325e-06,0.0009686718093710965
0.012,0.0010247517990685196,0.00041069566578250165,1.1149157009421097e-05,1.2070726400190935e-05,8.511640346553535e-07,3.767771659981547e-06,0.0010064282414446633
0.013,0.0010625961736455555,0.0004604425963926433,1.1336329266404054e-05,1.2233641029988339e-05,8.796306266547795e-07,3.866011159363342e-06,0.0010438299056719955
0.014,0.0010999469279465125,0.0005147419825654148,1.1487007277662861e-05,1.23528159273842e-05,9.070229114111966e-07,3.947364873980488e-06,0.0010807672496217936
0.015,0.0011366943951130913,0.0005738040011426155,1.1604540037623677e-05,1.2432049381026177e-05,9.331608622186774e-07,4.011279409748446e-06,0.0011171335876168954
0.016,0.0011727326157133843,0.0006377946383433467,1.1692696262151786e-05,1.2475484330700344e-05,9.578400866189845e-07,4.057431928428722e-06,0.0011528259158855691
0.017,0.001207960135331659,0.0007068239925611367,1.1755500137362675e-05,1.2487473919797251e-05,9.808384147112887e-07,4.0857219769340815e-06,0.0011877456846151417
0.018,0.0012422807517957712,0.0007809360242663685,1.1797067706974849e-05,1.247247064997122e-05,1.0019250603018948e-06,4.096262594265887e-06,0.0012217995177722766
0.019,0.0012756042034095599,0.000860100534897212,1.1821449366626526e-05,1.243493727658032e-05,1.0208718089198164e-06,4.089371837124482e-06,0.0012548998724517693
0.02,0.001307846790464609,0.0009442080009821285,1.1832484009366892e-05,1.2379275838402646e-05,1.0374655184062265e-06,4.065565405955066e-06,0.0012869656303625904
0.021,0.001338931923256644,0.0010330676668159704,1.1833670165774364e-05,1.2309770167411964e-05,1.051521107377411e-06,4.025550536761283e-06,0.0013179226151960944
0.022,0.001368790590946733,0.001126409035086046,1.1828058952487588e-05,1.223053680886897e-05,1.0628941625510729e-06,3.970220812405713e-06,0.001347704030691911
0.023,0.0013973617467405712,0.001223886622858683,1.1818172811799697e-05,1.2145479445258144e-05,1.0714923197531618e-06,3.900651099864828e-06,0.0013762508154891273
0.024,0.0014245926061302284,0.0013250876043640147,1.180595297748627e-05,1.2058242627717366e-05,1.077284661413784e-06,3.8180914879334685e-06,0.0014035119120502158
0.025,0.0014504388561444872,0.001429541772156835,1.1792737442574069e-05,1.197216184839007e-05,1.0803085163352652e-06,3.723958920454478e-06,0.0014294444482603203
0.026,0.0014748647748939797,0.0015367331345075095,1.1779270016788991e-05,1.189020868157507e-05,1.0806732323403077e-06,3.6198252136451786e-06,0.0014540138315608606
0.027,0.0014978432619544605,0.0016461124370977314,1.1765739880152632e-05,1.181493176445955e-05,1.0785607035814462e-06,3.5074003145351424e-06,0.0014771937567759602
0.028,0.0015193557813579766,0.0017571099448289835,1.1751849846611559e-05,1.1748396582948852e-05,1.0742226555719928e-06,3.388509985174806e-06,0.0014989661299469091
0.029,0.0015393922201832764,0.0018691479264501445,1.1736910295987532e-05,1.1692129102227209e-05,1.0679749069347885e-06,3.2650675527784672e-06,0.0015193209116819816
0.03,0.0015579506668484415,0.001981652424588907,1.1719954366555689e-05,1.1647069917676253e-05,1.0601890240006541e-06,3.139039905955703e-06,0.0015382558845688818
0.031,0.0015750371142640802,0.0020940640377134405,1.1699868524992907e-05,1.1613546487633823e-05,1.0512819520829774e-06,3.012408490648435e-06,0.00155577635016516
0.032,0.0015906650938654308,0.0022058475635721667,1.167553112899582e-05,1.1591270897548008e-05,1.0417043380266298e-06,2.887126612531624e-06,0.0015718947619007973
0.033,0.00160485524741033,0.0023165004379233404,1.1645950249335078e-05,1.1579369365140887e-05,1.03192834811608e-06,2.7650748336422747e-06,0.001586630300927809
0.034,0.0016176348440336936,0.0024255599426323132,1.1610391078594917e-05,1.1576447350738085e-05,1.022435831983994e-06,2.6480166144491407e-06,0.0016000084025302025
0.035,0.0016290372506049728,0.0025326091572470044,1.1568483009778444e-05,1.1580690871301332e-05,1.0137076872850975e-06,2.5375565630657964e-06,0.0016120602410845703
0.036,0.0016391013637406411,0.0026372816031772963,1.1520297169119617e-05,1.1590000762897221e-05,1.006215243562099e-06,2.4351036882256102e-06,0.0016228221818500148
0.037,0.0016478710120808203,0.0027392644970537995,1.1466386975557933e-05,1.160215263418186e-05,1.0004144098098368e-06,2.3418419038114646e-06,0.0016323352079113665
0.038,0.00165539433747909,0.002838300509844811,1.1407787150350985e-05,1.1614971596983499e-05,9.96743222084271e-07,2.2587097070027213e-06,0.001640644330642633
0.039,0.0016617231636782484,0.0029341879346187704,1.1345970296560278e-05,1.1626508037070395e-05,9.956232887308537e-07,2.186390470732539e-06,0.0016477979917978185
0.04,0.001666912360774649,0.0030267792064656595,1.1282764310294934e-05,1.1635199121058051e-05,9.97465465329915e-07,2.12531418816713e-06,0.0016538474650715008
0.041,0.0016710192134962185,0.003115977791079216,1.1220237945480367e-05,1.1640000728261864e-05,1.0026799036867339e-06,2.0756708264788706e-06,0.0016588462645061675
0.042,0.0016741028008159344,0.003201733556128129,1.1160565259902062e-05,1.1640476192829106e-05,1.0116904143584734e-06,2.037434740080757e-06,0.001662849566685207
0.043,0.001676223393898855,0.003284036847275369,1.1105881908810465e-05,1.163683159630661e-05,1.0249528666666067e-06,2.0103989131106695e-06,0.0016659136529289652
0.044,0.0016774418787022852,0.0033629115940991346,1.1058146965054472e-05,1.1629892117519337e-05,1.04297713165505e-06,1.9942171988843856e-06,0.0016680953771570587
0.045,0.0016778192089294294,0.003438407854736168,1.1019023000350338e-05,1.1621019685996246e-05,1.0663518612519898e-06,1.988452245756041e-06,0.001669451664266905
0.046,0.001677415894257181,0.003510594262549384,1.098978468824875e-05,1.161197829668325e-05,1.0957712015519711e-06,1.9926264797568026e-06,0.0016700390432525453
0.047,0.0016762915280440131,0.003579550856602492,1.0971262554570847e-05,1.1604759122204434e-05,1.132062371160601e-06,2.0062733768385564e-06,0.001669913218421687
0.048,0.0016745043578882545,0.0036453627586143147,1.0963824253308827e-05,1.1601382274615784e-05,1.1762129087561756e-06,2.028986308735757e-06,0.0016691286814188118
0.049,0.0016721109017485136,0.003708115103022729,1.0967391515254224e-05,1.1603695063147536e-05,1.229396318683626e-06,2.0604624779679403e-06,0.0016677383659593258
0.05,0.0016691656115204504,0.0037678895368792537,1.0981487303885693e-05,1.1613187381818888e-05,1.292994829242766e-06,2.1005398462481175e-06,0.0016657933466050498
0.051,0.0016657205852945085,0.0038247624852426713,1.1005305186089977e-05,1.1630843216066078e-05,1.368618032526256e-06,2.1492254712188393e-06,0.001663342582091725
0.052,0.0016618253288029005,0.0038788052293696283,1.1037791742203824e-05,1.1657043276028696e-05,1.4581163008006726e-06,2.2067142551041915e-06,0.0016604327033040067
0.053,0.0016575265659780334,0.0039300856735505225,1.107773301464968e-05,1.1691527876119544e-05,1.5635880717268764e-06,2.273397727544599e-06,0.0016571078452591948
0.054,0.0016528680979347118,0.003978671490706107,1.112383731034548e-05,1.1733422111923642e-05,1.6873803574147443e-06,2.349863086292388e-06,0.0016534095221754671
0.055,0.0016478907091491384,0.00402463414874737,1.117480873847492e-05,1.1781318065867546e-05,1.832082149470036e-06,2.436883261571209e-06,0.0016493765440224835
0.056,0.0016426321191012894,0.004068053148673674,1.1229408205073796e-05,1.1833402201718021e-05,2.000510747839479e-06,2.535399219740674e-06,0.0016450449728180013
0.057,0.0016371269772651727,0.004109019674681047,1.1286500734960813e-05,1.1887611199031461e-05,2.1956914150835394e-06,2.646496057948757e-06,0.0016404481163511298
0.058,0.0016314068988570142,0.004147638795579906,1.134508958873511e-05,1.194179691264096e-05,2.420831126082819e-06,2.7713746546592627e-06,0.0016356165570132147
0.059,0.0016255005384946957,0.004184029391387693,1.1404338493640335e-05,1.1993881250726752e-05,2.6792875207327834e-06,2.91132073409631e-06,0.0016305782128777412
0.06,0.001619433698493943,0.004218321130941234,1.1463583409967272e-05,1.2041984471909697e-05,2.9745344485612284e-06,3.0676731883427735e-06,0.0016253584282300362
0.061,0.0016132294684044232,0.004250648102402751,1.1522334783276636e-05,1.2084515233533853e-05,3.310125696141613e-06,3.241793398372619e-06,0.0016199800903878756
